,EmployeeNumber,Prediction,AttritionScore
155,1273,Yes,0.9496931060618855
176,1108,Yes,0.8792876055348253
115,33,Yes,0.8681267416099748
6,1868,Yes,0.7968824973125594
232,1331,Yes,0.7941522448807211
163,19,Yes,0.790706002573064
82,390,Yes,0.7264363123929526
101,235,Yes,0.6737469069003256
58,1420,Yes,0.6464709179419783
173,1649,Yes,0.643558413476973
348,752,Yes,0.6425460252108711
11,175,Yes,0.6421595649773442
51,1667,Yes,0.6264020857750747
49,881,Yes,0.6226234186734861
137,4,Yes,0.6144342524937774
72,875,Yes,0.6138875920364048
36,1862,Yes,0.6107105833297345
194,72,Yes,0.5633998655270137
85,64,Yes,0.5571456822621288
275,913,Yes,0.5423801625570753
38,723,Yes,0.5341349482283244
100,2023,Yes,0.5291838508227641
122,939,Yes,0.5219165888485128
197,1758,Yes,0.5141926041061163
319,1496,No,0.49864995011426805
263,355,No,0.48579734475592495
241,1752,No,0.4688801163513472
235,1380,No,0.4657031364715384
317,1487,No,0.4503071153962489
143,608,No,0.44776697897169676
225,556,No,0.4306149604659154
226,1154,No,0.42736052245109873
119,315,No,0.42043065095917564
237,1801,No,0.417478578255746
223,1286,No,0.41160850592922066
145,1131,No,0.37349201170988244
158,720,No,0.3726199934266109
0,803,No,0.3712512904744883
77,1980,No,0.3676670211163809
272,527,No,0.3675079221584696
17,1279,No,0.36739627124462354
310,669,No,0.3668300795532197
314,1299,No,0.3533498104153989
52,960,No,0.353112065729885
255,124,No,0.34748287906938957
87,1244,No,0.3352229281371594
91,396,No,0.3347170848001057
134,2010,No,0.33046359431182387
278,783,No,0.32638762402269067
323,1394,No,0.31881136823599615
136,68,No,0.30242503337159377
187,1720,No,0.2945843579270924
40,311,No,0.29278184912683736
112,240,No,0.2883726591847005
162,1200,No,0.2871889031430061
345,1049,No,0.28441060467227086
37,1198,No,0.28105872010494914
63,1535,No,0.273163432547521
166,61,No,0.2709048031853362
301,1678,No,0.26664618983025856
27,190,No,0.2608147789067387
240,5,No,0.25924460076268413
285,1173,No,0.2566785914616981
8,1501,No,0.24993612025315606
307,286,No,0.2481494076942777
295,1694,No,0.24690186751455848
292,1907,No,0.24469388096940445
333,1329,No,0.24376767431227378
364,1275,No,0.2431628802321257
73,78,No,0.2402770323411252
334,238,No,0.2374264799541173
29,1650,No,0.23531814277073546
367,1372,No,0.2332990462700211
22,1992,No,0.23239176347037055
217,699,No,0.22455740800322055
168,1371,No,0.22391740354423836
365,586,No,0.21987141000605334
65,1377,No,0.21770232019836092
97,926,No,0.21620921274864022
46,351,No,0.21542865571200404
312,983,No,0.21457378219514983
220,1292,No,0.21403400030186934
309,837,No,0.21210699483073128
95,1641,No,0.21155714563189382
35,1160,No,0.20772446738474856
61,1239,No,0.20083279871709803
358,1043,No,0.2002346834272762
270,1481,No,0.19294100099086084
33,1507,No,0.19293400063728294
94,321,No,0.1921407547215536
107,1613,No,0.18951288406658434
127,861,No,0.1881992568355784
337,1747,No,0.18813062882768694
56,1107,No,0.18488226942381786
151,1185,No,0.18341821638952324
347,1298,No,0.18273455418237564
206,616,No,0.182335653994354
320,1547,No,0.18046913282375987
139,605,No,0.17972047894831106
114,73,No,0.1783451781540314
86,1583,No,0.17353199667574462
207,1564,No,0.17231482853521785
30,1260,No,0.16912582750217928
53,359,No,0.1642776921432232
117,1856,No,0.16254245133479034
23,1387,No,0.1612375421516864
109,754,No,0.16019977194612284
262,1568,No,0.15743650684240781
350,91,No,0.15742032618741478
316,16,No,0.15696040995074367
227,538,No,0.1541456587461507
66,453,No,0.15350914488174552
230,936,No,0.15341145742035175
349,223,No,0.1527740691085314
192,1002,No,0.15256210473928367
267,80,No,0.15025185302976216
256,729,No,0.14624032694304273
83,1974,No,0.1435628179835933
287,1467,No,0.13743594512175575
340,829,No,0.135263195861108
167,1915,No,0.13459225148170625
252,1294,No,0.13286089903245307
325,423,No,0.13219148870026032
9,763,No,0.13212469381019476
70,1522,No,0.13092476533801223
110,805,No,0.13017867876563355
16,967,No,0.12705309523778666
266,1537,No,0.12517967668572302
332,916,No,0.12405214817341167
14,171,No,0.12225389012965618
254,533,No,0.1198289435747501
7,407,No,0.1194134222420861
118,1859,No,0.11898985053117747
357,1918,No,0.11873122282212047
50,691,No,0.11732563720090576
98,1044,No,0.1172112256139747
208,31,No,0.11430412332152443
318,547,No,0.1134729527268059
281,922,No,0.11336611498511352
149,1419,No,0.11292024693976568
338,95,No,0.112807512171055
248,477,No,0.11230683430285357
48,155,No,0.11118376656487311
89,1987,No,0.10805755585770373
128,1577,No,0.10793757951914953
92,1813,No,0.10717933818367872
331,1340,No,0.103211192209509
253,1415,No,0.10128685349073109
308,1560,No,0.09842978786630223
78,150,No,0.09821429554649364
219,975,No,0.09684558618532925
123,1132,No,0.09597697633310374
28,422,No,0.09571453262216484
25,12,No,0.09508870770043068
250,1768,No,0.09388832059424607
105,700,No,0.0921672301117151
1,1401,No,0.09184683277840802
360,1219,No,0.09163061864581006
204,298,No,0.09136099532079366
218,1732,No,0.09114033212124709
311,1754,No,0.08902245644872991
132,366,No,0.08822687528008051
146,231,No,0.0866382759920657
336,1240,No,0.0863815568824138
356,388,No,0.08616520085735056
182,1475,No,0.08598727923012674
164,1952,No,0.0859149017781606
5,1105,No,0.0858245006623535
71,211,No,0.08580817389952146
343,1550,No,0.08574825219752086
244,1164,No,0.08563447330107596
88,1829,No,0.08466567565682274
274,1860,No,0.0841863708349859
302,199,No,0.08305880044756986
368,194,No,0.08094892838707582
335,404,No,0.0806655978424456
277,14,No,0.08001904176610845
111,1156,No,0.07998137467874053
264,1982,No,0.07917577673610002
300,306,No,0.0784307734158007
20,1648,No,0.07828037977190097
188,1172,No,0.07810173072688825
313,2044,No,0.07742003323659707
124,1361,No,0.07663267381873323
31,1543,No,0.07519181758939007
221,39,No,0.07491422640396304
55,813,No,0.07487352757225663
32,97,No,0.07367465184114469
198,789,No,0.07249801697625523
269,428,No,0.07135144938616797
161,933,No,0.07108083105542118
84,1068,No,0.07065902108459243
133,715,No,0.07032021634470248
361,511,No,0.07012842348186409
81,1204,No,0.07005812996896775
363,242,No,0.06887727065525459
352,1557,No,0.06809163740254315
150,42,No,0.06731894921632087
229,134,No,0.06730357754584082
106,1523,No,0.06722981362232078
324,1080,No,0.0669494724687954
268,2038,No,0.0667749561002492
138,1973,No,0.0667520028506183
242,717,No,0.06514508868425586
205,716,No,0.06465069204881245
190,1882,No,0.06438842281745026
18,148,No,0.06371307080164333
147,1839,No,0.06347512328781477
177,592,No,0.06338311057297237
271,169,No,0.06265468608020075
169,1911,No,0.06265247686817739
54,969,No,0.06241926351050099
339,949,No,0.061788774759386926
234,1735,No,0.06029168176763663
245,868,No,0.05918360020569769
156,1772,No,0.058926030683676786
172,710,No,0.057902994206522694
185,128,No,0.05622302237016347
144,343,No,0.05460251911089686
280,613,No,0.05456743695413042
247,1094,No,0.054285915003600124
304,339,No,0.05337640798997858
297,945,No,0.05326523723889078
125,162,No,0.05259410674277405
279,52,No,0.05228774574636979
45,567,No,0.05199931215109517
249,690,No,0.05192723487539671
159,1221,No,0.05170392809786223
258,230,No,0.05111329039877471
231,1596,No,0.05093203380023183
196,1947,No,0.04990047552083153
69,560,No,0.04871295111367568
141,682,No,0.048604478387522035
154,869,No,0.04851867768234368
62,1573,No,0.046309079373888735
113,1346,No,0.04627007773363332
251,787,No,0.045279148543486365
342,1598,No,0.04402241208766706
353,812,No,0.04394072551782632
211,56,No,0.042629561102786324
175,958,No,0.04245928043122257
64,1293,No,0.042386768091303394
200,126,No,0.041320322950680846
213,1582,No,0.04084162147751195
170,118,No,0.03970946362793142
42,2062,No,0.039640056592707376
303,1938,No,0.03959617435738065
298,1778,No,0.03868907136422209
47,742,No,0.038574965586480624
306,380,No,0.03846670349285805
157,1190,No,0.0382789419910737
215,887,No,0.03785192572483449
148,1588,No,0.03761053201648401
186,1440,No,0.03712507177480533
39,1764,No,0.03709938362793887
120,1858,No,0.036686535070627926
193,1592,No,0.03632853121277925
34,1969,No,0.03631841932172671
296,2065,No,0.03629482653493916
328,1644,No,0.03619451557787306
41,154,No,0.03579702385400832
326,1745,No,0.035708882147079464
341,1727,No,0.035037852741589645
293,1693,No,0.034424904429052154
99,1303,No,0.03432525466871884
282,966,No,0.034059132676919124
74,731,No,0.031462649749381566
261,847,No,0.031298604360089674
68,1417,No,0.031067605130879455
322,1834,No,0.030933109082762037
288,1986,No,0.030825806916253744
135,564,No,0.030568078726388476
184,1029,No,0.029547644106856147
305,1015,No,0.02949559548210912
344,1651,No,0.02900147123509074
102,340,No,0.02896687011698485
183,1544,No,0.028456776708984024
201,516,No,0.02804075335357358
327,1628,No,0.027773394872718557
265,332,No,0.027161414298855498
140,1529,No,0.026549448290788313
129,683,No,0.026324678959739525
329,228,No,0.02624098798933624
243,1446,No,0.026206718264608245
283,1513,No,0.025946131640241166
57,1097,No,0.024447410558682617
13,692,No,0.0241384819604636
44,727,No,0.023951447736874337
355,256,No,0.023882652431950275
174,1283,No,0.023586357805829062
259,469,No,0.02357736363746616
171,420,No,0.02347764930910779
67,807,No,0.023112946305694118
180,2031,No,0.022926335718908133
165,733,No,0.022849526975064108
222,1697,No,0.02274220008434617
142,1256,No,0.022592985983295753
366,1867,No,0.022285397868352878
351,239,No,0.02201790118519688
19,1073,No,0.021595808561075243
108,824,No,0.021552012588173835
214,106,No,0.021335809455103837
286,867,No,0.021136575952090033
315,58,No,0.02081473910426045
359,1941,No,0.020517463077244107
290,1821,No,0.019942158699749576
209,597,No,0.019896663367342613
181,244,No,0.019479019196362288
80,308,No,0.01936541108903675
153,1143,No,0.01925677958125496
152,112,No,0.018902091115856
15,2024,No,0.01838700125973191
203,1951,No,0.018286838992983983
60,909,No,0.01779756272405563
246,1989,No,0.017445706974191073
24,1866,No,0.01727308289711729
12,1375,No,0.016974589818993756
284,460,No,0.01626747686101784
346,2034,No,0.015343029966017238
2,1315,No,0.015303871448884
90,1712,No,0.015266236023800561
354,1217,No,0.015152181153648074
291,520,No,0.015099641463064426
131,1267,No,0.014657539795971654
321,96,No,0.014655379489142153
160,138,No,0.013858988430747168
273,1013,No,0.013693866687826914
195,1115,No,0.013596944285190083
179,984,No,0.013034233004330422
289,762,No,0.012906730836062327
330,1018,No,0.012555747510101333
257,1449,No,0.012355575689023734
59,532,No,0.012224689767794108
130,851,No,0.011752412673705175
212,1668,No,0.01160672446917628
75,820,No,0.01151433687994582
126,1698,No,0.011237314278044369
10,1483,No,0.011094025347007638
210,1228,No,0.010826019746472914
362,1979,No,0.01080084888738697
236,725,No,0.010794010058266607
104,1653,No,0.010782766951171805
299,1422,No,0.010268021151924355
224,391,No,0.010198710268737648
26,447,No,0.009743399371671596
178,1770,No,0.009281594091292603
76,776,No,0.009040633789908816
121,1857,No,0.008896210345013386
103,307,No,0.008720323884054625
4,850,No,0.00871306998225455
191,999,No,0.008643315444185494
116,1468,No,0.008214883846618
79,581,No,0.00782389424191313
239,1472,No,0.007712779229870821
369,456,No,0.007183006760611649
199,2022,No,0.006612691941915746
21,410,No,0.006559408224703509
233,140,No,0.006277447962663061
276,441,No,0.005631948030433938
202,1045,No,0.00555224122280352
3,1255,No,0.005395117990182419
294,2051,No,0.005326250214600448
216,734,No,0.004875055486163299
96,46,No,0.004213200293523971
43,352,No,0.003951611232245751
238,1264,No,0.003435136351091216
228,1280,No,0.00340485613954562
189,254,No,0.002989862306099718
93,1121,No,0.0026523269771457077
260,32,No,0.0019494309385409646
